,ope,con,ext,agr,neu,item_level,blocks,gender,birthday,age,relationship_status,interested_in,mf_relationship,mf_dating,mf_random,mf_friendship,mf_whatever,mf_networking,locale,network_size,timezone
50,3.7,2.15,2.6,2.55,4.5,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-5
51,3.89,4.05,2.85,3.95,2.85,1,100,female,18/12/1980,32,NA,NA,NA,NA,NA,NA,NA,NA,en_US,50,-6
52,3.55,2.95,2.4,3.3,2.35,1,100,male,,NA,1,NA,NA,NA,NA,NA,NA,NA,en_US,165,-4
53,3.8,2.25,2.3,1.7,4.9,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
54,4.2,2.32,1.89,2.55,4.45,1,100,female,17/06/1993,19,1,NA,NA,NA,NA,NA,NA,NA,en_GB,2,-4
55,4.6,2.95,4.25,4.35,1.21,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
56,4.05,3.8,4.21,2.8,3.2,1,100,female,04/02/1975,37,3,NA,NA,NA,NA,NA,NA,NA,en_US,245,-8
57,3.15,2.1,1.6,4.35,3.9,1,336,male,23/04/1996,16,1,NA,NA,NA,NA,NA,NA,NA,en_GB,26,-5
58,4.75,3.5,4,4.33,2.25,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
59,4.55,3.35,3.6,2.4,4.6,1,100,female,03/01/1988,24,2,NA,NA,NA,NA,NA,NA,NA,en_US,38,-5
60,4.6,2.4,3.47,3.5,2.7,1,100,female,20/09/1993,19,NA,NA,NA,NA,NA,NA,NA,NA,en_US,34,-4
61,4.5,2.1,1.9,2.6,4.65,1,336,male,07/06/1990,22,1,2,NA,NA,NA,NA,NA,NA,en_GB,15,-5
62,4.55,2.8,3.85,3.7,3.55,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
63,3.4,3.15,2.35,4.3,2.3,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,es_LA,NA,NA
64,3.5,3.67,2.83,3.83,1.5,1,30,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
65,4,4.5,4.75,3.75,2,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
66,3.56,3.28,3.78,3.44,1.89,1,90,female,03/04/1994,18,NA,NA,NA,NA,NA,NA,NA,NA,,10,6
67,3.95,1.9,3.35,3.35,3.05,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
68,3.65,3.5,2.8,4.7,2.65,1,336,female,30/05/1994,18,1,NA,NA,NA,NA,NA,NA,NA,en_US,188,-7
69,3.3,4.25,2.8,3.5,2.6,1,100,male,30/06/1980,32,NA,NA,NA,NA,NA,NA,NA,NA,en_US,138,-5
70,4.65,3.5,3.4,3.1,2.75,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,118,-4
71,3.95,2.4,2.2,2.7,3.85,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
72,4.65,3.7,3.25,3.15,2.85,1,100,male,29/09/1992,20,NA,NA,NA,NA,NA,NA,NA,NA,en_US,175,8
73,4.5,3.6,3.35,4.05,2.2,1,100,female,08/04/1988,24,1,1,NA,NA,NA,1,NA,NA,,65,1
74,4.95,3,4.75,4.2,2.1,1,100,male,29/04/1993,19,7,NA,NA,NA,NA,NA,NA,NA,en_US,103,-4
75,3.1,1.3,3.75,4.1,4.2,1,100,female,08/08/1992,20,1,1,NA,NA,NA,NA,NA,NA,,812,-7
76,2.5,4.33,2.75,4,4,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
77,4.7,4.5,3.65,2.55,2.7,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
78,5,4.25,3.25,2.5,4.25,1,20,female,01/01/1991,21,1,NA,NA,NA,NA,NA,NA,NA,en_GB,441,1
79,4.68,3.05,2.1,3.7,4.58,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
80,3.05,4.65,2.75,3.15,3.35,1,100,female,20/09/1991,21,1,1,NA,NA,NA,NA,NA,NA,en_US,204,-4
81,3.25,3.25,4,1.75,3.25,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
82,4.45,4.05,2.6,3.55,2.7,1,100,male,06/03/1990,22,1,NA,NA,NA,NA,NA,NA,NA,en_GB,238,5
83,4.15,2.65,1.95,3.6,4.3,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
84,3.8,2.8,1.8,3.35,4.05,1,100,female,29/10/1994,18,1,NA,NA,NA,NA,NA,NA,NA,en_US,230,10
85,3.95,2.65,2.15,3.7,2.75,1,100,female,24/03/1987,25,NA,NA,NA,NA,NA,NA,NA,NA,en_US,4,-4
86,4.9,2.8,2.9,2.3,3.7,1,336,male,25/01/1996,16,1,NA,NA,NA,NA,NA,NA,NA,en_GB,33,1
87,4.85,3.25,2.1,2.8,3.55,1,336,male,20/06/1988,24,1,2,NA,NA,NA,NA,NA,NA,en_US,173,-5
88,4.75,3.75,5,3.75,1,1,20,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
89,2.55,2.5,2.25,3.21,3.55,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
90,4.65,5,4.2,3.85,1.6,1,336,male,11/08/1992,20,NA,NA,NA,NA,NA,NA,NA,NA,pt_BR,66,-2
91,3.88,3.38,2.25,2.5,3.63,1,40,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
92,3.95,2.6,1.75,3.15,2.4,1,336,male,13/12/1988,24,2,2,NA,NA,NA,NA,NA,NA,en_US,54,-4
93,4.7,3.3,4,2.7,2.25,1,336,female,,NA,1,NA,NA,NA,NA,NA,NA,NA,en_GB,90,-7
94,3.1,2.26,3.75,2.45,1.45,1,100,male,22/09/1992,20,1,NA,NA,NA,NA,NA,NA,NA,en_GB,5,-7
95,3.75,2.94,4.69,3.07,2.31,1,80,female,11/05/1994,18,1,NA,NA,NA,NA,NA,NA,NA,,14,-7
96,3.85,3.1,2.4,4.15,4.7,1,100,female,14/01/1990,22,4,NA,NA,NA,NA,NA,NA,NA,en_US,132,-4
97,3.83,2.83,3.67,2.75,4.17,1,60,female,,NA,1,1,NA,NA,NA,NA,NA,NA,en_US,78,-4
98,4.25,4.1,2.85,3.75,3.6,1,100,female,05/05/1980,32,3,NA,NA,NA,NA,1,NA,NA,en_GB,195,-8
99,4,3.75,4.25,3.25,1.75,1,20,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
100,4.75,3.5,4.25,4.25,2.75,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
101,4.7,3.35,3.75,2.65,3.25,1,100,female,,NA,2,3,NA,NA,NA,NA,NA,NA,en_US,19,-4
102,3.9,2.35,2.05,2.74,2.65,1,100,male,28/01/1991,21,1,NA,NA,NA,NA,NA,NA,NA,en_US,143,-4
103,2.85,4.47,3.25,3.15,1.95,1,100,male,08/01/1987,25,1,NA,NA,NA,NA,NA,NA,NA,,179,-4
104,4.15,3.6,3.75,3.6,2.7,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
105,3.6,3.16,2.3,3.15,3.68,1,100,male,31/01/1979,33,1,NA,NA,NA,NA,NA,NA,NA,en_US,88,3
106,3.95,3.75,4.58,4.55,2.9,1,100,female,28/06/1981,31,1,1,NA,NA,NA,NA,NA,NA,en_US,154,-4
107,3.75,2.85,2.15,4.6,3.25,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
108,4.45,3.35,2.85,3.15,3.25,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,52,-5
109,3.5,2.5,3.67,3.67,3.83,1,30,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
110,3.55,2.8,3.4,4,3.05,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
111,3,2.13,3.88,3,2.5,1,40,female,10/08/1987,25,3,NA,NA,NA,NA,NA,NA,NA,,166,-4
112,3.15,3.05,1.84,1.85,3.79,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
113,3.8,3.75,3.2,2.95,2.1,1,336,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
114,3.8,3.75,3.2,2.95,2.1,1,336,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
115,4.45,4.15,2.5,3.8,2.25,1,336,male,08/11/1992,20,1,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,1
116,3.9,3.5,2.6,4,3.25,1,100,male,01/07/1991,21,1,NA,NA,NA,NA,NA,NA,NA,en_US,281,-5
117,4.58,4.25,3.55,3.95,1.95,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-4
118,4.35,3.6,3.45,3.6,3.6,1,336,male,21/03/1980,32,1,NA,NA,NA,NA,NA,NA,NA,en_GB,49,NA
119,4.3,2.6,3,3.95,3.05,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
120,3.3,3.89,1.84,3.25,4.15,1,100,male,27/04/1971,41,NA,NA,NA,NA,NA,NA,NA,NA,en_US,63,-4
121,4.15,3.1,4.06,1.95,1.8,1,100,male,14/03/1976,36,3,NA,NA,NA,NA,NA,NA,NA,en_US,109,-6
122,4.92,3.33,3.25,2.67,2.75,1,60,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
123,3.7,2.75,1.95,2.55,4.2,1,100,female,,NA,1,NA,NA,NA,NA,NA,NA,NA,en_US,12,7
124,3.9,3.9,1.8,1.85,3.15,1,100,male,07/06/1992,20,1,NA,NA,NA,NA,NA,NA,NA,en_US,NA,8
125,4.5,4,3.25,4.25,1.5,1,20,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
126,4.2,2.35,2.05,3.15,4,1,336,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,77,-4
127,4.65,3.3,3.1,3.65,2.2,1,100,male,06/08/1994,18,NA,NA,NA,NA,NA,NA,NA,NA,en_US,130,6
128,4.35,3.3,2.75,4.6,1.25,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-5
129,3.8,3.47,3.6,3.25,2.65,1,100,female,22/10/1984,28,5,1,NA,NA,NA,1,NA,NA,en_US,5,11
130,5,4,4.5,4,1.25,1,20,male,02/10/1987,25,1,NA,NA,NA,NA,NA,NA,NA,en_PI,65,-7
131,3.6,3.05,2.4,3.6,2.3,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
132,4.2,3.65,2.9,3.65,2.3,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
133,4.35,3.35,2.5,3.35,3.2,1,336,male,12/05/1987,25,NA,NA,NA,NA,NA,1,NA,NA,es_LA,26,-5
134,3.4,4.45,3.4,2.5,3.3,1,100,female,20/06/1988,24,3,NA,NA,NA,NA,NA,NA,NA,pt_BR,NA,8
135,3.95,4.6,3.68,4,2.95,1,100,male,14/04/1994,18,1,NA,NA,NA,NA,NA,NA,NA,en_US,11,6
136,4.3,2.85,2.6,4.7,2.5,1,336,female,29/11/1991,21,2,NA,NA,NA,NA,NA,NA,NA,en_US,135,-7
137,4.5,4.3,2.2,4,2.9,1,336,female,10/11/1976,36,NA,1,NA,NA,NA,NA,NA,NA,en_US,138,-5
138,4.55,2.75,2.95,4.05,3.5,1,100,female,13/09/1991,21,2,1,NA,NA,NA,NA,NA,NA,en_GB,156,-6
139,4.9,3.1,4.25,4.2,2.5,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-7
140,2.9,3.2,1.8,3.25,2.45,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
141,4.5,4,4.5,3,3,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
142,5,3,4,2.75,3.75,1,20,female,18/11/1991,21,1,2,NA,NA,NA,1,NA,1,en_US,91,-7
143,4.7,4.85,3.15,4.1,1.7,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-5
144,4.7,4.85,3.15,4.1,1.7,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-5
145,5,1.25,4.5,3.5,3,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
146,5,2.75,1.7,4.2,3.35,1,336,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
147,4.55,3.6,3.6,3.15,2.5,1,100,female,08/09/1975,37,1,1,NA,NA,NA,NA,NA,NA,en_US,184,-5
148,4.5,2,3.5,3.25,3.5,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,NA
149,4.6,3.4,4.63,3.65,2.2,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
150,3.95,3.3,1.9,2.95,4.6,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,156,-5
151,3.42,3.6,4.55,2.65,3.42,1,100,male,09/05/1985,27,1,2,NA,NA,NA,NA,NA,NA,en_US,449,7
152,4.7,3.1,2.9,2.2,4.05,1,100,male,25/08/1994,18,1,2,NA,NA,NA,NA,NA,NA,en_US,65,0
153,4,2.33,3.67,2.5,3.33,1,30,female,,NA,2,NA,NA,NA,NA,NA,NA,NA,sr_RS,1628,2
154,4.2,3.9,2.6,2.75,3.15,1,100,male,09/11/1979,33,4,2,NA,NA,NA,NA,NA,NA,en_US,110,-7
155,4.25,4.25,3.95,3.5,2.75,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
156,3.75,3,3.5,3.5,4,1,20,male,21/02/1992,20,1,NA,NA,NA,NA,NA,NA,NA,en_US,117,-4
157,4.25,3.7,2.65,4,1.5,1,100,female,29/12/1991,21,2,NA,NA,NA,NA,NA,NA,NA,en_GB,128,1
158,3.4,4.3,2.4,3.85,3.45,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,7,-5
159,4.15,3.47,3.5,2.89,3.45,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
160,3.7,4.3,3.21,4.05,1.85,1,100,male,12/05/1984,28,1,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-4
161,4.85,2.55,3.5,3,2.15,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,NA,2
162,4.58,3.09,3.17,3.33,3.42,1,60,female,24/02/1993,19,1,1,NA,NA,NA,NA,NA,NA,en_PI,124,-5
163,4.5,4,4.5,2,4,1,20,female,,NA,1,NA,NA,NA,NA,NA,NA,NA,en_GB,489,1
164,4.15,3.15,2.85,2.9,4.4,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
165,3.68,3.47,3.2,4.25,3.3,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
166,4.8,4,4.15,3.75,2.63,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,pt_PT,NA,NA
167,4.5,2.8,2.25,3.55,3.5,1,100,male,14/10/1992,20,1,NA,NA,NA,NA,NA,NA,NA,en_US,90,-4
168,4.25,3.6,4.8,3.75,1.8,1,336,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-7
169,4.25,3.6,4.8,3.75,1.8,1,336,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-7
170,5,1.75,4.15,2.2,3.65,1,336,male,12/05/1968,44,1,NA,NA,NA,NA,NA,NA,NA,en_US,155,-4
171,4.75,3.5,3.5,3.88,1.88,1,40,female,20/03/1975,37,3,NA,NA,NA,NA,NA,NA,NA,en_US,201,-6
172,3.5,4.25,4,3.75,3,1,20,male,07/02/1982,30,1,NA,NA,NA,NA,NA,NA,NA,en_US,181,6
173,4,4,2.5,3.25,3,1,20,female,03/11/1971,41,3,NA,NA,NA,NA,NA,NA,NA,ro_RO,144,2
174,3.75,2.7,3.75,3.74,2.63,1,100,male,25/03/1994,18,1,NA,NA,NA,NA,NA,NA,NA,en_GB,214,2
175,4.2,2.8,1.7,3,4.4,1,100,female,,NA,1,1,NA,NA,NA,NA,NA,NA,en_US,188,-4
176,4.35,3.85,2.7,3.15,2.55,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
177,4.3,3.2,3.1,3.6,2.05,1,100,female,18/11/1978,34,2,NA,NA,NA,NA,NA,NA,NA,en_US,170,-4
178,3.65,3.4,3.5,4.4,1.55,1,100,male,22/05/1994,18,1,2,NA,NA,NA,NA,NA,NA,en_US,NA,-5
179,3.7,3.21,3.3,4.15,1.25,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
180,4.1,3.4,4.35,4,3.15,1,100,female,20/02/1969,43,1,NA,NA,NA,NA,NA,NA,NA,en_GB,252,-4
181,3.47,3.6,3,3.8,2.4,1,100,female,01/03/1991,21,1,NA,NA,NA,NA,NA,NA,NA,en_US,24,-7
182,2.86,4.5,3,4,4.6,1,50,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
183,4.75,3.95,2.5,2.55,2.65,1,336,male,26/05/1996,16,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,178,1
184,4.75,2.25,2.25,3.75,3.5,1,20,male,10/05/1992,20,1,NA,NA,NA,NA,NA,NA,NA,en_US,72,-7
185,4.55,3,3.8,3,2.4,1,100,female,30/08/1993,19,1,1,NA,NA,NA,NA,NA,NA,en_GB,93,-4
186,4.45,2.3,3.9,4.15,1.4,1,100,male,,NA,2,2,NA,NA,NA,NA,NA,NA,en_PI,82,0
187,4.4,3.55,3.1,2.95,2.9,1,336,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_GB,59,NA
188,4.5,3.25,4.25,3.25,4.75,1,20,female,22/01/1990,22,4,NA,NA,NA,NA,NA,NA,NA,en_US,161,-4
189,3.9,3.45,4.3,3.8,1.7,1,100,male,,NA,1,2,NA,NA,NA,NA,NA,NA,en_US,130,-5
190,3.4,4.2,1.8,3.8,3.1,1,50,female,09/08/1991,21,2,NA,NA,NA,NA,NA,NA,NA,en_US,287,-5
191,4.5,4.15,4.16,4.15,2.35,1,100,female,25/07/1990,22,1,1,NA,NA,NA,NA,NA,NA,,195,-5
192,4.7,3.8,3.2,3.25,2.4,1,100,female,15/09/1986,26,4,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-7
193,4.6,3.5,3.53,3.55,3.15,1,100,female,02/12/1991,21,NA,NA,NA,NA,NA,NA,NA,NA,en_US,11,-5
194,4.25,1.9,1.6,2.85,3.9,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,de_DE,NA,NA
195,4.3,3.7,3.15,4.15,2.35,1,100,male,12/04/1972,40,1,2,1,1,NA,1,NA,NA,en_US,27,-4
196,4.1,3.3,4.05,3.7,2.8,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
197,5,3.75,4,3.5,2.5,1,20,male,05/04/1986,26,2,NA,NA,NA,NA,NA,NA,NA,en_GB,150,8
198,4.2,2.35,3.65,3.45,2.6,1,100,male,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
199,3.75,4.25,2.5,4.5,3.5,1,20,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,-7
200,4.6,1.8,1.74,3.1,3.05,1,100,female,28/02/1992,20,NA,NA,NA,NA,NA,NA,NA,NA,en_US,58,-4
201,4.17,2.83,4.17,3.83,2.5,1,30,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
202,4.3,3.8,2.9,3.3,2.4,1,50,female,03/02/1989,23,NA,NA,NA,NA,NA,NA,NA,NA,ro_RO,129,3
203,5,4.85,3.75,3.35,1.7,1,336,male,14/10/1976,36,7,NA,NA,NA,NA,NA,NA,NA,en_US,178,8
204,4.6,4.25,3.32,2.8,2.7,1,100,female,,NA,NA,NA,NA,NA,NA,NA,NA,NA,en_US,NA,NA
205,4.6,3.95,3.8,3.45,2.6,1,100,male,05/03/1992,20,1,NA,NA,NA,NA,NA,NA,NA,en_US,23,-6
206,4.95,3.95,2.8,4.7,1.85,1,100,male,05/02/1996,16,1,NA,NA,NA,NA,NA,NA,NA,en_US,106,-4
207,4.28,4.17,4.44,3.67,2.17,1,90,male,06/11/1978,34,3,NA,NA,NA,NA,NA,NA,NA,en_US,97,-4
